Legacy_ID,Legacy_Name,Legacy_ID_Consolidaton,New_Name,New_IDs
1,Accounting,,Accounting,"115, 148, 318, 351, 554, 587, 933, 966, 1188, 1221, 1385, 1418, 1638, 1671, 1841, 1874, 2101, 2134, 2319, 2352, 2599, 2632, 2802, 2835, 3053, 3086, 3315, 3348, 3557, 3590, 3757, 3790, 3996, 4029, 4199, 4232, 4438, 4471, 4634, 4667, 4882, 4915, 5076, 5109, 5337, 5370, 5536, 5569, 5763, 5796, 5957, 5990, 6228, 6261, 6573, 6606|""Accounting"""
111,Accounting/ Banking/Finance/ Economics,1,,
118,Advertising,3,,
64,African & African American Studies,25,,
20,American Studies,,American Studies,"116, 149, 319, 352, 555, 588, 934, 967, 1189, 1222, 1386, 1419, 1639, 1672, 1842, 1875, 2102, 2135, 2320, 2353, 2600, 2633, 2803, 2836, 3054, 3087, 3316, 3349, 3558, 3591, 3758, 3791, 3997, 4030, 4200, 4233, 4439, 4472, 4635, 4668, 4883, 4916, 5077, 5110, 5338, 5371, 5537, 5570, 5764, 5797, 5958, 5991, 6229, 6262, 6574, 6607|""American Studies"""
25,Anthropology,,Anthropology,"117, 150, 320, 353, 556, 589, 935, 968, 1190, 1223, 1387, 1420, 1640, 1673, 1843, 1876, 2103, 2136, 2321, 2354, 2601, 2634, 2804, 2837, 3055, 3088, 3317, 3350, 3559, 3592, 3759, 3792, 3998, 4031, 4201, 4234, 4440, 4473, 4636, 4669, 4884, 4917, 5078, 5111, 5339, 5372, 5538, 5571, 5765, 5798, 5959, 5992, 6230, 6263, 6575, 6608|""Anthropology"""
31,Architecture,,Architecture,"118, 151, 321, 354, 557, 590, 936, 969, 1191, 1224, 1388, 1421, 1641, 1674, 1844, 1877, 2104, 2137, 2322, 2355, 2602, 2635, 2805, 2838, 3056, 3089, 3318, 3351, 3560, 3593, 3760, 3793, 3999, 4032, 4202, 4235, 4441, 4474, 4637, 4670, 4885, 4918, 5079, 5112, 5340, 5373, 5539, 5572, 5766, 5799, 5960, 5993, 6231, 6264, 6576, 6609|""Architecture"""
9,Art History,,Art History,"119, 152, 322, 355, 558, 591, 937, 970, 1192, 1225, 1389, 1422, 1642, 1675, 1845, 1878, 2105, 2138, 2323, 2356, 2603, 2636, 2806, 2839, 3057, 3090, 3319, 3352, 3561, 3594, 3761, 3794, 4000, 4033, 4203, 4236, 4442, 4475, 4638, 4671, 4886, 4919, 5080, 5113, 5341, 5374, 5540, 5573, 5767, 5800, 5961, 5994, 6232, 6265, 6577, 6610|""Art History"""
5,Art Studio,,Art Studio,"120, 153, 323, 356, 559, 592, 938, 971, 1193, 1226, 1390, 1423, 1643, 1676, 2357, 1846, 1879, 2106, 2139, 2324, 2604, 2637, 2807, 2840, 3058, 3091, 3320, 3353, 3562, 3595, 3762, 3795, 4001, 4034, 4204, 4237, 4443, 4476, 4639, 4672, 4887, 4920, 5081, 5114, 5342, 5375, 5541, 5574, 5768, 5801, 5962, 5995, 6233, 6266, 6578, 6611|""Art Studio"""
112,Art Studio/ Art History,5,,
106,Art/Music/Drama/Theatre,5,,
84,Ary History Major in Architecture,31,,
47,Author,53,,
88,Below average grades; sometimes lack motivation and discipline (below 80%).,53,,
89,Below average grades; tries but struggles academically (below 80%).,53,,
