Source Question IDs,Source Question Text,Destination Table Name,Destination Column Name,Notes,,General Notes,,
1879,Please select your grade and program type,iuser_persona_partners,partner_id,"You'll only enter the partner site ID, which is the second dropdown menu in this question. You'll also have to enter the persona ID of the given user into the persona_id column.",,"iuser_referencecheck contains only confirmations that a given reference was confirmed by an iMentor staff member. These confirmations appear on the legacy application as checkboxes and as dropdown menus on the ""Screening Tracker"" page at /iuser/screening_tracker/. Furthermore, staff can add notes for each reference from this page.",,
"106, 239, 408, 543, 690, 834, 962, 1097, 1223, 1349, 1481, 1616, 1741",Please select your school and class,iuser_persona_partners,partner_id,"You'll only enter the partner site ID, which is the second dropdown menu in this question. You'll also have to enter the persona ID of the given user into the persona_id column.",,,,
883,Program Preferences,iuser_persona_user_programs,userprogram_id,"If the answer is ""4-Year…"", enter ID 79458. If the answer is ""3-Year…"", enter ID 78649. You'll also have to enter the persona ID of the given user into the persona_id column.",,,,
"223, 392, 527, 674, 818, 945, 1081, 1207, 1333, 1465, 1600",Your Primary Phone Number,iuser_user,home_phone,,,,,
39,How did you hear about iMentor NYC?,iuser_user,imentor_hear,"This is a varchar column, so we may want to delimit multiple answers with "", "".",,,,
"94, 227, 396, 531, 678, 822, 949, 1085, 1211, 1337, 1469, 1604, 1729, 1867",Home Address,iuser_user,"address1, city, state_id, and zip_code",We'll need to split our four answers into these four columns.,,,,
"100, 233, 402, 537, 684, 828, 955, 1091, 1217, 1343, 1475, 1610, 1735, 1873",Parent/Guardian's Address,iuser_user,"parent_address, parent_city, parent_state_id, parent_zip_code",We'll need to split our four answers into these four columns.,,,,
"2, 435, 134, 297, 571, 721, 862, 997, 1123, 1251, 1375, 1508, 1645, 1769",Preferred First Name,iuser_user,first_name,,,,,
592,How did you hear about mentor2.0 CNM?,iuser_user,imentor_hear,"This is a varchar column, so we may want to delimit multiple answers with "", "".",,,,
"7, 90, 139, 302, 440, 576, 726, 867, 1002, 1128, 1256, 1380, 1513, 1650, 1725, 1774, 1863",Primary Phone Number,iuser_user,home_phone,,,,,
757,How did you hear about mentor2.0 Denver?,iuser_user,imentor_hear,"This is a varchar column, so we may want to delimit multiple answers with "", "".",,,,
