  4022 | --
    91 | 100 Women in HFS
 10769 | 1010data
  7395 | 10gen
   818 | 1199 SEIU Benefit & Pension Fund
 11344 | 1991
 10348 | 212 Staffing, Inc
  9904 | 24 Hour Business Finance
  7964 | 24 Hourfitness
  9931 | 2GR Equity, LLC
  9044 | 2U, Inc.
 10952 | 32 BJSEIU
  8325 | 33Across
  3885 | 360i
  2266 | 3i Group
  3912 | 3M
  7931 | 3P HR Consulting
  7936 | 3Pillar Global
 10153 | 3 Rivers Wealth Management Group
  7017 | 42West
  9494 | 451 Group Partners, LLC
  8141 | 49ers Academy
 10638 | 4C Insights
  8077 | 500 Startups
  2459 | 77Agency
  4319 | 7by7 Group
  9510 | 7-Eleven, Inc.
  4194 | 7thOnline
  7257 | 826 Valencia
 10140 | 84 Lumber
  8585 | 87AM
  6153 | 9/11 Memorial & Museum
  8600 | 92nd St. YMCA
   421 | 94x50
  6237 | A76 Productions
 10274 | AAA Carolinas
  4151 | AABR
  7421 | AAFES
  3130 | AA INsurance World Services
  2398 | Aaron Diamond AIDS Research
   753 | Aaron Diamond AIDS Research Center
  2286 | Aaronson Rappaport Feinstein Deutsch
 10025 | AARP
  2236 | ABA
 11205 | Abacus Finance Group LLC
  5698 | Abbott Diabetes Care
 10336 | Abbott House
  6983 | Abbott Laboratories
  1521 | ABC
 11135 | ABC Consulting Services, LLC
  3377 | ABC Home
  9017 | ABCO Subsea Inc
  1212 | ABD3 LLC
  7877 | Abel Intermedia LLC
  6427 | Aberdeen Asset Management Inc.
  5103 | Abernathy MacGregor
  3759 | ABG Sundal Collier
  7200 | Abloy Security, Inc.
  4994 | ABM Industries, Inc
   773 | ABN AMRO
  2331 | Abraham Lerner & Arnold, LLP
  2692 | Abrams Garfinkel Margolis Bergson, LLP
 10452 | Abri Credit Union
  9633 | A Brighter Choice
  5010 | Absolute Design Partners
  6027 | Absolute Returns
 10599 | Abt SRBI
  1454 | Abu Dhabi National Energy Company
  6095 | AC
  6173 | ACA Compliance Group
  4591 | Academic Advantage
  1157 | Academy for Educational Development
  7341 | Academy for Urban School Leadership
  6971 | Academy of the City Charter School
  9233 | Academy Sports + Outdoors
  7044 | Acadia Capital
  7951 | ACA Enterprises
  4379 | ACBOE
  1959 | Accelero Health Partners
  5190 | Acceller, Inc.
  3100 | Accentuated Success
   768 | Accenture
  9418 | Accessibility Solutions
  3522 | Access Intelligence
    79 | Access Staffing, LLC
  8727 | Accion East and Online
  5476 | Accordant Media
  9061 | Accountemps
  2519 | Accounting Management Solutions
  1981 | Accrue Sports and Entertainment Ventures
  9828 | Accurate communications Inc
   361 | AccuServe Inc
  7983 | Ace Cash Express
  6409 | Ace Group
  5361 | Ace Hotel Group
  4595 | ACE Houlihans
  4960 | ACE Tutoring Inc.
  4137 | ACE USA
  3858 | Achievement First
  2710 | ACIM
  6052 | ACM
  5215 | Acme
  7161 | Acme Smoked Fish Corp
 10169 | ACN
  6413 | Acquis Consulting
 10456 | ACS
  5513 | ACS Inc.
  6419 | Acsioum
  6468 | Actelion Pharmaceuticals
  3449 | ACT for Children
  7890 | ActioNet
  4026 | Action for Boston Community Development
 11097 | Active Duty Officer, USAF
  7727 | Active Policy Solutions
  3818 | ACTIV FINANCIAL
  8954 | Actor's Guild
  2463 | ACTS Turning Point
  4172 | ACUA - Atlantic County Utilities Authoritiy
  5731 | ACXIOM
  8416 | Adakin Capital
  4058 | Adam Leitman Bailey, P.C.
  3845 | Adams 12 5 Star School Districts
  4149 | Adams & Commissiong LLP
  7901 | Adam's Inn
 11381 | Adaptly
  7474 | Adconiondirect
  6162 | Addison Design Firm
  5786 | Addison Search
  3929 | Addleston Library Team Leader
  1000 | Adecco
  2852 | Adelphi University
  1107 | Adent Software, Inc.
   854 | Ad Fax Media
  3959 | Adility Inc.
  1281 | AditAll.com
 11283 | ADM
  5572 | Admeld
  7030 | Administration for Children's Services
  7000 | Admiral Merchants Motor Freight, Inc.
  4628 | Admission Possible
  4775 | Adobe
  6956 | Adobe Systems
  9870 | Adoptive
  2952 | ADP Inc.
 10262 | ADT Security Service
  7919 | Adults & Childrens Alliance
  3507 | Advanced Interconnections Corp
  6281 | Advanced Microscopy Group
  7639 | Advancement Project
  1869 | Advantage Human Resources
  2161 | Advantage Intergrated Talent Services
 10192 | Advantage Resourcing TVC
   383 | Advent
 10014 | advertising.com
  9258 | Advertising Concepts Group
 11357 | Advertising Database/The List Partners
   493 | Advisen ltd
  4784 | AdvisorLeap.com
  7358 | Advocacy & Consulting for Education
  4899 | Advocates for Children of New York, Inc.
  7875 | Advocates for Justice and Education, Inc.
  4710 | AEA Investors
  9862 | AEG Brooklyn LLC
  1713 | Aegis Media Global
  9404 | Aegis Therapies
  5974 | A&E Networks
  4722 | Aeon
  5057 | Aerie by American Eagle
  3837 | Aero LTD
  4331 | Aero Metals
  6303 | Aeropostale, Inc
 10172 | Aerotek
 10246 | Aesthetic Plus
  8216 | Aetna
 10444 | Aetna Insurance
  3391 | Aetos Capital
  1241 | AFC Realty Capital, Inc.
  5287 | Affinity Health Plan
  6401 | Affinity Plus Federal Credit Union
  3939 | Affinity Solutions, Inc.
  2055 | African American Policy Forum
  1819 | AFS
  9846 | AFS USA
  4915 | After School Activities Partnerships
  1884 | After School Corp.
  2880 | AFTRA Health & Retirment Funds
   510 | Ag8 Ltd.
 11335 | Agape Homehealthcare
  4450 | AGATHA K, LLC
  1127 | Agency RX
  7322 | Agent for Fults Commercial
  8120 | Aggregift
  9168 | Aging with Dignity
  3002 | Agnes Law Firm
  2974 | A Good Pantry
 10375 | Agora Cyber Charter School
  5329 | Agora Learning Center
  6906 | AGPM LLC
 10632 | AGR, LLC
  6106 | AHRC New York City
  1185 | Ai
  9702 | AIDS Arms, Inc.
   373 | AIG
  3248 | AIG Chartis
  2190 | AIG Domestic Claims
 10802 | AILA
  7429 | Aimbridge Hospitality
  2672 | AIMCO
  6700 | AiO
  9975 | Air Force
  8508 | Airgas USA LLC
  9157 | Air Liquide
 10260 | Air Products and Chemicals
  4884 | Airrosti Rehab Centers
  6718 | Air Security Coordinator
  4361 | AJC
  7467 | AJF Financial Services
 10408 | AJs Chicken & Things
 11001 | aka Purch
  8088 | A.K. Associates
  8551 | Akerman Senterfitt
 10633 | Aker Solutions
  1739 | Akin Gump
  7209 | Akorbi
  9732 | AKQA Inc.
  6437 | Akron Community Health Resources
  6297 | Aksia LLC
  2179 | Akst & Akst
  6563 | Alachua County Florida
  8259 | Alacra, Inc.
  8782 | Alakazam
  4896 | Alamo Colleges
  3732 | Alan Gray, Inc.
  3386 | ALanguage Bank
  6875 | Alan Linder, MD, APC
    81 | Alan Weiss Productions
 10960 | Alarm.com
  4630 | AlaS Consulting, LLC
  3962 | Albert Einstein College of Medicine
  5386 | Albert Einstein Healthcare Network
  7711 | Albright Stonebridge Group
  9995 | Albuqeurque Ambulance Service
  8115 | Albuquerque Business First
  8146 | Albuquerque Business Law, P.C.
 10256 | Albuquerque Clinical Trials
  8719 | Albuquerque Community Foundation
 10086 | Albuquerque Fire Dept
  6484 | Albuquerque Public Schools
  9837 | Alcentra
  6348 | Alchemy Production Group
  5657 | Alcoa
  2023 | Alcoholism Council of New York
  8264 | Alcon
   885 | Alcon Laboratories, INC
  3976 | Aldo
  5171 | Alego Health
 10586 | Alene Candles
  9177 | Aleris International
  8632 | Alex and Ani
  4312 | Alexander Group
  1073 | Alexander Interactive
  5569 | Alex & Eli
  4876 | Alief ISD
   716 | Ali Forney Center
  1942 | Alinda Capital Partners
   199 | Alison Brod Public Relations
  1260 | A-List Services, LLC
  6026 | Alive and Hope Foundation
 10143 | AlixPartners LLP
 11070 | Al Jazeera Media Network
  5717 | All American Heating Inc.
 10377 | All-Clad Metalcrafters, Groupe SEB
  3920 | Alled Barton Securities
  9946 | Alleghany Corporation
