list_name,keyword,alert_frequency,member_site_id,partner_site_id,alert_recipient
National Safety Alert Standard Keywords,facetime,daily,all,all,
National Safety Alert Standard Keywords,gmail,daily,all,all,
National Safety Alert Standard Keywords,hotmail,daily,all,all,
National Safety Alert Standard Keywords,yahoo,daily,all,all,
National Safety Alert Standard Keywords,twitter,daily,all,all,
National Safety Alert Standard Keywords,facebook,daily,all,all,
National Safety Alert Standard Keywords,aol,daily,all,all,
National Safety Alert Standard Keywords,QQ,daily,all,all,
National Safety Alert Standard Keywords,gchat,daily,all,all,
National Safety Alert Standard Keywords,gamer tag,daily,all,all,
National Safety Alert Standard Keywords,gamertag,daily,all,all,
National Safety Alert Standard Keywords,other email,daily,all,all,
National Safety Alert Standard Keywords,home address,daily,all,all,
National Safety Alert Standard Keywords,regular email,daily,all,all,
National Safety Alert Standard Keywords,come to my house,daily,all,all,
National Safety Alert Standard Keywords,come over,daily,all,all,
National Safety Alert Standard Keywords,drive you,daily,all,all,
National Safety Alert Standard Keywords,pick you up,daily,all,all,
National Safety Alert Standard Keywords,drink,daily,all,all,
National Safety Alert Standard Keywords,drank,daily,all,all,
National Safety Alert Standard Keywords,drunk,daily,all,all,
National Safety Alert Standard Keywords,alcohol,daily,all,all,
National Safety Alert Standard Keywords,booze,daily,all,all,
National Safety Alert Standard Keywords,vodka,daily,all,all,
National Safety Alert Standard Keywords,beer,daily,all,all,
National Safety Alert Standard Keywords,binge,daily,all,all,
National Safety Alert Standard Keywords,crunk,daily,all,all,
National Safety Alert Standard Keywords,wasted,daily,all,all,
National Safety Alert Standard Keywords,trashed,daily,all,all,
National Safety Alert Standard Keywords,shots,daily,all,all,
National Safety Alert Standard Keywords,beer,daily,all,all,
National Safety Alert Standard Keywords,liquor,daily,all,all,
National Safety Alert Standard Keywords,passed out,daily,all,all,
National Safety Alert Standard Keywords,pot,daily,all,all,
National Safety Alert Standard Keywords,weed,daily,all,all,
National Safety Alert Standard Keywords,smoke,daily,all,all,
National Safety Alert Standard Keywords,marijuana,daily,all,all,
National Safety Alert Standard Keywords,blacked out,daily,all,all,
National Safety Alert Standard Keywords,blunt,daily,all,all,
National Safety Alert Standard Keywords,drug,daily,all,all,
National Safety Alert Standard Keywords,overdose,daily,all,all,
National Safety Alert Standard Keywords,od'd,daily,all,all,
National Safety Alert Standard Keywords,oded,daily,all,all,
National Safety Alert Standard Keywords,od ,daily,all,all,
National Safety Alert Standard Keywords,cocaine,daily,all,all,
National Safety Alert Standard Keywords,drinking age,daily,all,all,
National Safety Alert Standard Keywords,legal age,daily,all,all,
National Safety Alert Standard Keywords,abuse,daily,all,all,
National Safety Alert Standard Keywords,abusing,daily,all,all,
National Safety Alert Standard Keywords,abused,daily,all,all,
National Safety Alert Standard Keywords,slap,daily,all,all,
National Safety Alert Standard Keywords,smack,daily,all,all,
National Safety Alert Standard Keywords,bruise,daily,all,all,
National Safety Alert Standard Keywords,rape,daily,all,all,
National Safety Alert Standard Keywords,die,daily,all,all,
National Safety Alert Standard Keywords,slit,daily,all,all,
National Safety Alert Standard Keywords,stab,daily,all,all,
National Safety Alert Standard Keywords,gun,daily,all,all,
National Safety Alert Standard Keywords,knife,daily,all,all,
National Safety Alert Standard Keywords,hopeless,daily,all,all,
National Safety Alert Standard Keywords,depressed,daily,all,all,
National Safety Alert Standard Keywords,harm,daily,all,all,
National Safety Alert Standard Keywords,bully,daily,all,all,
National Safety Alert Standard Keywords,bullying,daily,all,all,
National Safety Alert Standard Keywords,gang,daily,all,all,
National Safety Alert Standard Keywords,threaten,daily,all,all,
National Safety Alert Standard Keywords,die young,daily,all,all,
National Safety Alert Standard Keywords,cutting,daily,all,all,
National Safety Alert Standard Keywords,punch,daily,all,all,
National Safety Alert Standard Keywords,bleed,daily,all,all,
National Safety Alert Standard Keywords,suffered,daily,all,all,
National Safety Alert Standard Keywords,end it all,daily,all,all,
National Safety Alert Standard Keywords,hate myself,daily,all,all,
